TRIMESTRE,INVERSION FB,CONSUMO,PIB,CREC INVERSION,CREC CONSUMO,CREC PIB
2004/03,9439078.906,2597025.112,13551818.37,0.012180015,0.027818922,0.012280532
2004/04,9554047.029,2669271.551,13718241.91,0.002104869,0.020340424,0.00170365
2005/01,9574157.05,2723565.667,13741612.99,0.000113275,-0.000344942,0.002986231
2005/02,9575241.562,2722626.196,13782648.62,0.012396598,0.016916557,0.009180386
2005/03,9693941.979,2768683.657,13909178.65,0.002026185,0.034759952,0.015836011
2005/04,9713583.703,2864922.967,14129444.56,0.022955618,0.023882758,0.017609704
2006/01,9936565.022,2933345.23,14378259.9,0.011008551,0.029459227,0.009868739
2006/02,10045952.2,3019759.312,14520155.2,-0.000136769,0.017600237,0.003085886
2006/03,10044578.23,3072907.793,14564962.75,0.004792038,0.004607142,0.002158434
2006/04,10092712.23,3087065.115,14596400.26,0.0143261,-0.004205311,0.007096291
2007/01,10237301.43,3074083.047,14699980.57,0.009329051,0.020875497,0.007676226
2007/02,10332805.74,3138256.058,14812820.95,-0.004849868,0.032087747,0.006258138
2007/03,10282693,3238955.625,14905521.63,-0.000962098,0.040206773,0.004008012
2007/04,10272800.04,3369183.577,14965263.14,0.012732519,0.013525392,-0.003299419
2008/01,10403598.66,3414753.107,14915886.46,0.00896082,0.014110471,0.008901867
2008/02,10496823.43,3462936.882,15048665.69,-0.008538778,-0.001789629,0.002924136
2008/03,10407193.38,3456739.51,15092670.04,-0.037586518,-0.03367382,-0.015910049
2008/04,10016023.22,3340337.886,14852544.92,-0.0407844,-0.101266339,-0.050884682
2009/01,9607525.723,3002074.097,14096777.9,-0.011080771,0.000852656,-0.01530489
2009/02,9501066.93,3004633.834,13881028.27,0.026228606,0.010260248,0.032468661
2009/03,9750266.673,3035462.123,14331726.67,0.0214088,-0.001075093,0.017338062
2009/04,9959008.182,3032198.718,14580211.04,-0.001932514,0.034418982,0.010839216
2010/01,9939762.26,3136563.91,14738249.1,0.008135814,0.004305881,0.010345371
2010/02,10020630.32,3150069.58,14890721.75,0.003376044,-0.004663914,0.009101232
2010/03,10054460.41,3135377.927,15026245.67,0.014788662,0.025250808,0.008334896
2010/04,10203152.43,3214548.753,15151487.87,0.001951316,0.004023877,0.00812215
2011/01,10223062,3227483.702,15274550.53,0.013841005,0.046934408,0.004390658
2011/02,10364559.45,3378963.74,15341615.86,0.012404811,0.024685862,0.019256365
2011/03,10493129.85,3462376.374,15637039.62,-7.84E-06,0.025998734,0.007143545
2011/04,10493047.54,3552393.778,15748743.51,0.010013361,-0.002082381,0.005631966
2012/01,10598118.21,3544996.34,15837439.9,-0.001856705,0.010205017,0.008851682
2012/02,10578440.63,3581173.088,15977627.88,0.003529764,0.013142506,0.006298929
2012/03,10615780.03,3628238.678,16078269.83,0.00431514,-0.019703563,0.008421598
2012/04,10661588.61,3556749.449,16213674.55,0.017239303,-0.004558917,0.00346812
2013/01,10845386.97,3540534.525,16269905.52,-0.007158606,-0.028500991,-0.006936086
2013/02,10767749.12,3439625.783,16157056.06,0.004366885,-0.009198559,0.009694584
2013/03,10814770.64,3407986.183,16313692,0.005429314,0.012935574,0.005455742
2013/04,10873487.43,3452070.439,16402695.3,0.003418234,0.000699006,0.006469409
2014/01,10910655.55,3454483.458,16508811.05,0.017795529,0.025252377,0.012652207
2014/02,11104816.44,3541717.376,16717683.94,-0.003981216,0.003332515,0.003756431
2014/03,11060605.77,3553520.201,16780482.77,0.006263081,0.043364981,0.011135024
2014/04,11129879.24,3707618.538,16967333.84,0.006190746,-0.024766011,0.005506107
2015/01,11198781.5,3615795.617,17060757.79,0.006941739,0.037302122,0.010369552
2015/02,11276520.52,3750672.465,17237670.2,0.009446331,0.023652098,0.01213365
2015/03,11383042.27,3839383.736,17446826.06,0.013905891,-0.015730513,-0.000178304
2015/04,11541333.61,3778988.261,17443715.22,0.006056695,0.006559256,0.006039232
2016/01,11611235.95,3803775.612,17549061.86,0.00036211,-0.014041361,0.004385276
2016/02,11615440.49,3750365.425,17626019.34,0.016645358,0.003722788,0.011020544
2016/03,11808783.66,3764327.24,17820267.67,0.01228593,0.017591435,0.011344002
2016/04,11953865.55,3830547.159,18022420.82,0.006541278,-0.029711023,0.004801108
2017/01,12032059.11,3716737.683,18108948.41,0.009771589,-0.002202001,0.003280312
2017/02,12149631.45,3708553.422,18168351.41,0.003154477,0.006603363,-0.003148034
2017/03,12187957.18,3733042.346,18111156.83,0.0048959,0.007113769,0.011776175
2017/04,12247628.2,3759598.347,18324436.98,0.015055878,0.019819485,0.013283869
2018/01,12432027,3834111.649,18567856.4,-0.001306542,-0.004410501,-0.002489398
2018/02,12415784.04,3817201.294,18521633.61,0.004980632,-0.015931396,0.003057201
2018/03,12477622.49,3756387.948,18578257.96,-0.00481419,-0.030258859,0.000644304
2018/04,12417552.85,3642723.935,18590228.01,0.001104947,0.022079418,-0.001262035
2019/01,12431273.59,3723153.158,18566766.49,0.005438322,-0.034552898,-0.001027774
2019/02,12498878.86,3594507.428,18547684.05,0.005601069,-0.021761075,-0.000844859
2019/03,12568885.94,3516287.083,18532013.87,,,
